id_proposal,title_proposal,votes,scores_total,selected_choice,forum_topic_id,polarity,subjectivity
0xd295aabe7d3072c4397957e329ba164025c81e5844814388188bd2875d51e447,Non-Constitutional AIP: Arbitrum Security Enhancement Fund,50737,122510687.66313587,Against,19161,0.16670252102923797,0.49324270470857917
0xd33c2db7a567d3bd9d8c02b826c8c2130c98bf8504de56c4864e9cbfa30711c2,Abracadabra DAO STIP Proposal - Round 1,17194,204798529.0508291,For,17109,0.1773015444418033,0.4785013829388922
0xd7c38a5af10a30d35b7f63564969097019aeb59e70a48d4364739ef8594f8f6c,Thales STIP Proposal - Round 1,25797,154008216.42092016,For,16836,0.14352398662764515,0.5082492385082504
0xd981f6e45a0b16f5f2a831c99bde8ee86348ecffbc7bb44e755bc41d27019d4a,Quadrat STIP Proposal - Round 1,18337,113865066.56190501,Abstain,17563,0.12696926518488336,0.5128023029544058
0xdc35e859c48f45ea152a870b2cdb59274bd98da489c324345ec883785c2de715,Notional STIP Proposal - Round 1,16134,137970303.0675571,For,16848,0.1528306326163469,0.44886904852381043
0xde072efefadba0973d05a58f56d31046874ab50294633359599cd59faa7afbab,Range Protocol STIP Proposal - Round 1,16609,117004875.00812568,Abstain,17132,0.05176887000494691,0.3379724762152239
0xe07fb357b2b40e042ca58a36a1534afc33a1d313d4781ac433536bc884fc3c65,Arbitrum DAO Grants - Delegated Domain Allocation by Questbook,51622,104547042.85480964,For,14688,0.20020973131474376,0.45250172661016597
0xe213f7a4e3093ac66bc614b12c83976d5b075b58380edccdffd58349b82a0a1f,Socket STIP Proposal - Round 1,17799,198265831.47571144,For,17342,0.16705567264595042,0.44801387922915703
0xe2302872975225deced5b5d35f6e520740f59dc65c8d78a234121a0a1e1efcc2,Vaultka STIP Proposal - Round 1,18769,123721949.14997797,Against,17289,0.19517921733176669,0.4823038121891375
0xe2fa3720a6ef44c285622391723389df2ddc6f5ac96fbec51c98ded36937424e,Florence Finance STIP Proposal - Round 1,16163,108415254.26772642,For,17103,0.10928515928515929,0.5059233724608724
0xe567b815fe4e30044aa8f1241fdc5042d712ad3e2cd136f9aaf8aeb09a89a4e7,Cian STIP Proposal - Round 1,16209,108811204.10037246,Against,17245,0.12962492621015348,0.5027749926840835
0xe80e8f5e41070cbd992625b4edc829bbbcd2392e83b4941d8c17bbd829477358,Sanko GameCorp STIP Proposal - Round 1,23843,175079036.86402678,For,17486,0.1436418556860984,0.4828529385491949
0xe8bc33b7849bd1d7984a8d638444e2dd97b0dfa3f5f2c9dff28fcfe0247bdab3,AIP 1.05: Return 700M $ARB to the DAO Treasury ,26246,59192616.19964863,Against,13490,0.08585901144583553,0.4488199008344767
0xe968af3f6b06d386958e513c2285f72f7172aabd2661311a485270bab3b1c7db,Funding Gas Rebate and Trading Competition Program to Amplify Arbitrum’s Ecosystem Growth ,38359,146154338.22444996,Do Not Fund,19330,0.21102927888918482,0.5234134878874591
